51# Number of electrodes
# x z
0.000     0.000
1.500     0.000
3.000     0.000
4.500     0.000
6.000     0.000
7.500     0.000
9.000     0.000
10.500     0.000
12.000     0.000
13.500     0.000
15.000     0.000
16.500     0.000
18.000     0.000
19.500     0.000
21.000     0.000
22.500     0.000
24.000     0.000
25.500     0.000
27.000     0.000
28.500     0.000
30.000     0.000
31.500     0.000
33.000     0.000
34.500     0.000
36.000     0.000
37.500     0.000
39.000     0.000
40.500     0.000
42.000     0.000
43.500     0.000
45.000     0.000
46.500     0.000
48.000     0.000
49.500     0.000
51.000     0.000
52.500     0.000
54.000     0.000
55.500     0.000
57.000     0.000
58.500     0.000
60.000     0.000
61.500     0.000
63.000     0.000
64.500     0.000
66.000     0.000
67.500     0.000
69.000     0.000
70.500     0.000
72.000     0.000
73.500     0.000
75.000     0.000
1011# Number of data
# a b m n rhoa x z
23 24 27 26 790.422 36.000 -1.170
24 25 28 27 856.321 37.500 -1.170
25 26 29 28 1257.424 39.000 -1.170
26 27 30 29 690.907 40.500 -1.170
27 28 31 30 606.258 42.000 -1.170
28 29 32 31 804.167 43.500 -1.170
29 30 33 32 688.504 45.000 -1.170
30 31 34 33 579.747 46.500 -1.170
31 32 35 34 759.132 48.000 -1.170
32 33 36 35 899.831 49.500 -1.170
33 34 37 36 906.417 51.000 -1.170
34 35 38 37 1222.698 52.500 -1.170
35 36 39 38 1070.001 54.000 -1.170
36 37 40 39 746.523 55.500 -1.170
37 38 41 40 1238.798 57.000 -1.170
38 39 42 41 1041.966 58.500 -1.170
39 40 43 42 789.184 60.000 -1.170
40 41 44 43 1259.913 61.500 -1.170
41 42 45 44 883.763 63.000 -1.170
42 43 46 45 648.131 64.500 -1.170
43 44 47 46 885.278 66.000 -1.170
44 45 48 47 691.075 67.500 -1.170
45 46 49 48 659.116 69.000 -1.170
46 47 50 49 923.799 70.500 -1.170
47 48 51 50 879.720 72.000 -1.170
1 2 6 5 508.918 3.750 -1.462
2 3 7 6 464.985 5.250 -1.462
3 4 8 7 442.450 6.750 -1.462
4 5 9 8 477.481 8.250 -1.462
5 6 10 9 493.478 9.750 -1.462
6 7 11 10 439.590 11.250 -1.462
7 8 12 11 498.382 12.750 -1.462
8 9 13 12 521.433 14.250 -1.462
9 10 14 13 471.632 15.750 -1.462
10 11 15 14 522.594 17.250 -1.462
11 12 16 15 592.500 18.750 -1.462
